time,open,high,low,close,tick_volume,spread,real_volume
2024-10-08 00:28:00,63199.99,63207.18,63199.99,63207.18,6,1,0
2024-10-08 00:29:00,63207.18,63261.99,63207.18,63261.99,21,1,0
2024-10-08 00:30:00,63261.99,63310.99,63261.99,63310.99,24,1,0
2024-10-08 00:31:00,63310.99,63331.99,63310.99,63326.0,14,1,0
2024-10-08 00:32:00,63326.0,63326.0,63302.81,63302.81,18,1,0
2024-10-08 00:33:00,63302.81,63302.81,63302.81,63302.81,1,1,0
2024-10-08 00:34:00,63302.81,63314.58,63302.81,63314.58,3,1,0
2024-10-08 00:35:00,63315.49,63344.3,63315.49,63344.3,14,1,0
2024-10-08 00:36:00,63344.3,63344.3,63296.01,63296.01,19,1,0
2024-10-08 00:37:00,63296.01,63302.99,63292.02,63297.58,15,1,0
2024-10-08 00:38:00,63297.58,63370.01,63297.58,63370.01,27,1,0
2024-10-08 00:39:00,63370.01,63370.01,63348.0,63348.0,12,1,0
2024-10-08 00:40:00,63348.0,63348.0,63333.01,63333.01,17,1,0
2024-10-08 00:41:00,63333.01,63333.01,63330.0,63330.0,3,1,0
2024-10-08 00:42:00,63330.0,63330.0,63322.57,63322.57,8,1,0
2024-10-08 00:43:00,63322.57,63325.81,63311.74,63325.81,12,1,0
2024-10-08 00:44:00,63325.81,63325.81,63309.85,63309.85,15,1,0
2024-10-08 00:45:00,63309.85,63309.85,63309.85,63309.85,1,1,0
2024-10-08 00:46:00,63309.85,63309.85,63309.85,63309.85,1,1,0
2024-10-08 00:47:00,63309.85,63309.85,63290.1,63290.1,25,1,0
2024-10-08 00:48:00,63290.1,63290.1,63288.34,63288.34,3,1,0
2024-10-08 00:49:00,63288.34,63288.34,63288.34,63288.34,1,1,0
2024-10-08 00:50:00,63288.34,63288.34,63287.41,63287.41,2,1,0
2024-10-08 00:51:00,63287.41,63337.99,63287.41,63337.99,24,1,0
2024-10-08 00:52:00,63337.99,63352.87,63337.99,63352.87,11,1,0
2024-10-08 00:53:00,63352.87,63360.6,63352.87,63360.6,8,1,0
2024-10-08 00:54:00,63360.6,63360.6,63360.6,63360.6,1,1,0
2024-10-08 00:55:00,63360.6,63362.0,63360.6,63362.0,4,1,0
2024-10-08 00:56:00,63362.0,63362.0,63362.0,63362.0,1,1,0
2024-10-08 00:57:00,63362.0,63362.0,63361.57,63361.57,3,1,0
2024-10-08 00:58:00,63361.57,63361.57,63340.12,63341.76,12,1,0
2024-10-08 00:59:00,63341.76,63373.99,63341.76,63373.99,22,1,0
2024-10-08 01:00:00,63373.99,63373.99,63339.9,63339.9,17,1,0
2024-10-08 01:01:00,63339.9,63339.9,63323.99,63323.99,11,1,0
2024-10-08 01:02:00,63323.99,63343.99,63304.74,63304.74,40,1,0
2024-10-08 01:03:00,63304.74,63319.9,63284.35,63284.35,25,1,0
2024-10-08 01:04:00,63284.35,63284.36,63261.07,63266.97,13,1,0
2024-10-08 01:05:00,63266.97,63269.52,63220.5,63252.0,46,1,0
2024-10-08 01:06:00,63252.0,63317.83,63252.0,63314.36,32,1,0
2024-10-08 01:07:00,63314.36,63314.36,63268.88,63275.99,25,1,0
2024-10-08 01:08:00,63275.99,63287.99,63267.93,63285.99,25,1,0
2024-10-08 01:09:00,63285.99,63285.99,63242.0,63243.36,19,1,0
2024-10-08 01:10:00,63243.36,63259.99,63234.0,63259.99,21,1,0
2024-10-08 01:11:00,63259.99,63275.87,63242.0,63275.87,20,1,0
2024-10-08 01:12:00,63275.87,63275.87,63229.43,63229.99,25,1,0
2024-10-08 01:13:00,63229.99,63286.5,63229.99,63286.5,19,1,0
2024-10-08 01:14:00,63286.5,63293.99,63266.43,63266.43,14,1,0
2024-10-08 01:15:00,63266.43,63266.43,63239.9,63247.99,40,1,0
2024-10-08 01:16:00,63247.99,63319.9,63247.99,63319.9,28,1,0
2024-10-08 01:17:00,63319.9,63338.5,63310.67,63335.26,23,1,0
2024-10-08 01:18:00,63335.26,63335.99,63292.58,63292.58,22,1,0
2024-10-08 01:19:00,63292.58,63292.58,63259.9,63269.99,26,1,0
2024-10-08 01:20:00,63269.99,63275.99,63239.9,63239.9,23,1,0
2024-10-08 01:21:00,63239.9,63239.9,63216.01,63216.01,15,1,0
2024-10-08 01:22:00,63216.01,63240.96,63216.01,63240.96,25,1,0
2024-10-08 01:23:00,63240.96,63240.96,63218.0,63218.0,17,1,0
2024-10-08 01:24:00,63218.0,63263.99,63218.0,63263.99,28,1,0
2024-10-08 01:25:00,63263.99,63266.66,63239.9,63239.9,18,1,0
2024-10-08 01:26:00,63239.9,63239.9,63226.37,63233.99,9,1,0
2024-10-08 01:27:00,63233.99,63243.99,63226.75,63243.99,11,1,0
2024-10-08 01:28:00,63243.99,63243.99,63211.52,63211.52,15,1,0
2024-10-08 01:29:00,63211.52,63249.21,63211.52,63249.21,16,1,0
