open,high,low,close,volume,smoothed_data,macd_line,signal_line,histo
22870,23307,22742,23060,95001.9999,23138.86542320907,132.5416785616544,86.94916178699108,45.59251677466332
23060,23266,23002,23212,38192.0,23199.33961904052,116.1250261739151,113.34291141406442,2.7821147598506855
23212,23403,23197,23227,41108.0,23165.439055418105,49.27503781174164,70.63101410200551,-21.355976290263868
23227,23249,23154,23197,13714.0,23111.92167378767,-2.8349687156369328,21.65369938800868,-24.48866810364561
23197,23202,23102,23125,20845.0,23005.58764331352,-60.46508581191301,-38.749659418732584,-21.71542639318043
23125,23161,22829,22838,49029.0,22931.874688225846,-83.58056355976441,-67.82571728837706,-15.75484627138735
22838,23001,22646,22843,53579.0,22900.945333440282,-68.74833567948372,-68.44079416880146,-0.3075415106822561
22843,22942,22753,22925,22561.0,22842.73131856674,-53.55813575536013,-53.03551179941941,-0.5226239559407162
22925,22971,22409,22479,51930.0003,22778.274638282328,-58.779067903757095,-56.86454923707997,-1.9145186666771252
22479,22695,22342,22645,26398.8,22667.209051878395,-84.88953395932913,-75.54787239518001,-9.34166156414912
22645,22726,22628,22648,264969.0,22498.177378817632,-126.94476701319218,-109.81246885189081,-17.132298161301364
22648,22784,22524,22574,462397.0007,22306.098870240072,-159.472383543849,-142.91907869619928,-16.553304847649713
22574,22582,21852,21994,520614.9995,22077.726141385163,-194.23619163036346,-177.13048713023068,-17.105704500132788
21994,22052,21666,21759,366283.9999,21913.748685016035,-179.11809547245502,-178.45555890141935,-0.6625365710356732
21760,21903,21725,21793,209103.0001,21826.255839816677,-133.05904727429152,-148.19121720076365,15.13216992647213
21793,21893,21605,21878,147219.0005,21755.861868386037,-102.02952299267054,-117.41675353608306,15.387230543412528
21878,21894,21686,21699,110461.0,21731.006785218287,-63.01476115733385,-81.148758164923,18.133997007589144
21699,21863,21504,21621,215666.0006,21693.388025362834,-398.0939898693214,-425.0606053286797,26.96661545935831
21621,21757,21525,21741,178803.9998,21637.10912685987,-369.92151596155236,-406.818013106608,36.89649714505566
21741,21756,21440,21564,162838.0003,21615.767465481124,-252.04352944156562,-306.7362930744028,54.69276363283717
21564,21662,21541,21616,36297.0,21616.457599198035,-321.04786342123043,-354.8327000240836,33.78483660285315
21615,21651,21583,21630,23145.0,21620.36494288478,-167.1921183695522,-246.6604835116519,79.46836514209971
21629,21642,21596,21635,18141.0,21632.967929282328,-158.27726703031658,-209.76806205600596,51.49079502568938
21634,21713,21601,21676,33156.0,21654.76991647952,-90.39984943265881,-177.51055716597543,87.11070773331662
21676,21676,21558,21597,24975.0,21683.07167428183,-86.36816814564736,-139.1514084369523,52.783240291304935
21596,21865,21583,21826,147887.9998,21720.864669849772,-52.637082692275726,-104.87683437532243,52.239751683046705
21826,21847,21735,21747,218474.9996,21767.31067824634,-39.87004302973946,-150.25620254394832,110.38615951420886
21747,21776,21731,21764,192563.9997,21819.028369227202,23.522479527080577,-35.626449249601585,59.14892877668216
21764,21906,21764,21853,208853.9994,21875.907276124868,52.30402810272426,-7.521963238375999,59.82599134110026
21853,21951,21733,21907,243918.0002,21896.645011201712,41.658381744633516,12.910634711937266,28.74774703269625
21907,22049,21882,21962,267050.9999,21875.93943787043,33.10951075486082,20.459827050478445,12.649683704382376
21962,21990,21570,21750,215420.0,21832.338027987553,12.239136848187627,43.47238948759292,-31.233252639405293
21750,21839,21604,21775,285458.0002,21753.12579153609,-22.066508100760984,16.58079410209007,-38.64730220285105
21774,21860,21763,21850,119317.9997,21698.73461173735,-39.19356931671064,-21.58842282178645,-17.60514649492419
21850,21856,21433,21587,276117.0003,21673.096087919897,-79.97683113624953,-67.90097424670114,-12.07585688954839
